Trading Name,Code,Last Price,ROE %,Market Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Asiatic,5CR,0.004,7.333399999999999,12.934,43.186,8.000000,,Utilities,67
ASL Marine,A04,0.059,4.684200000000001,58.288,342.770,11.800000,,Industrials,78
Aspen,1F3,0.041,18.2485,44.412,206.219,16.001212,,Real Estate,60
Aspial Corp,A30,0.062,1.323,137.626,678.355,24.800000,,Real Estate,68
Aspial Lifestyle,5UF,0.121,16.8991,224.600,587.559,5.401786,6.45,Consumer Cyclical,64
Assurance HC,RCU,0.056,-14.9732,14.746,0.588,,,Technology,64
Astaka,42S,0.058,-18.2199,108.427,50.625,,,Real Estate,67
Atlantic Nav,5UL,0.06,80.9875,31.411,92.452,0.452186,265,Industrials,61
Attika Group,53W,0.26,39.1356,35.360,55.519,12.560386,2.83,Industrials,
Audience,1AZ,0.295,30.117,67.173,15.575,11.302682,5.08,Industrials,58
AusGroup,5GJ,0.009,-137.2152,27.659,245.052,,,Industrials,52
Autagco,1D3,0.002,,5.214,1.183,,,Consumer Cyclical,54
Avarga Ltd,X5N,2.56,6.8223,232.528,1619.620,12.190476,,Industrials,
Avi-Tech Hldg,1R6,0.21,5.4524,35.920,17.442,,7.140000000000001,Technology,91
AVJennings A$,A05,0.64,0.2323,365.667,331.403,,,Real Estate,
Azeus,BBW,12.4,58.079899999999995,372.000,365.452,21.311257,4.760000000000001,Technology,64
Aztech Gbl,8AZ,0.545,20.621100000000002,420.627,,5.969332,14.680000000000001,Technology,87
B&M Hldg,CJN,0.5,-16.5222,4.379,1.711,,,Financial Services,69
BACUI TECH,YYB,0.001,5.5895,4.358,56.103,3.333333,,Communication Services,57
Baker Technology,BTP,0.57,8.0059,115.640,92.019,6.333333,3.51,Energy,77
Ban Leong,B26,0.6,16.5071,65.449,208.081,9.174312,3.5000000000000004,Technology,60
Banyan Tree,B58,0.355,5.8549,307.751,380.638,7.334711,3.66,Consumer Cyclical,84
BBR,KJ5,0.139,18.3081,44.812,289.533,2.122137,2.16,Industrials,76
Beng Kuang,BEZ,0.179,75.59479999999999,35.659,111.883,3.091537,3.35,Energy,67
BeverlyJCG,9QX,0.014,,10.602,6.302,,,Healthcare,39
BH Global,BQN,0.111,4.7364999999999995,33.300,60.385,12.333333,4.5,Industrials,85
Biolidics,8YY,0.023,,38.887,0.784,,,Healthcare,62
BlackGoldNatural,41H,0.003,,4.301,13.039,,,Energy,66
Boldtek,5VI,0.035,-24.6617,12.378,42.786,,,Industrials,57
Bonvests,B28,0.86,0.22269999999999998,345.305,224.250,184.946237,0.9299999999999999,Consumer Cyclical,67
Boustead,F9D,1.14,17.494,560.447,527.097,5.825243,4.82,Industrials,73
BRC Asia,BEC,3.13,20.7278,858.716,1438.696,8.844306,4.47,Basic Materials,74
Broadway Ind,B69,0.194,12.915099999999999,88.679,352.230,6.769252,5.1499999999999995,Technology,91
Bromat,9I7,0.044,,13.563,2.249,,,Consumer Cyclical,
Brook Crompton,AWC,0.505,5.291300000000001,17.907,61.640,7.651515,3.9600000000000004,Industrials,64
Bukit Sembawang,B61,3.91,7.3436,1012.343,549.961,8.858179,1.02,Real Estate,52
Bumitama Agri,P8Z,0.725,16.6193,1257.254,16732039.000,6.962420,9.16,Consumer Defensive,75
Bund Center,BTE,0.37,3.7168,280.744,84.405,20.670391,3.7800000000000002,Real Estate,64
Camsing Hc,BAC,0.092,,8.280,4.783,,,Consumer Defensive,44
Capital World,1D5,0.002,-41.5699,32.200,-5.676,,,Real Estate,68
CapitaLandInvest,9CI,2.53,3.4333,12621.467,2815.000,26.914894,4.74,Real Estate,98
Captii,AWV,0.22,-20.863699999999998,7.031,18.143,,,Communication Services,46
Casa,C04,0.107,12.674299999999999,22.451,20.991,2.860963,1.87,Consumer Cyclical,72
CDW,BXE,0.126,-8.8695,28.411,85.795,,7.1499999999999995,Technology,91
Centurion,OU8,1.42,34.8667,1193.906,253.616,3.462570,2.46,Consumer Cyclical,88
CFM,5EB,0.075,8.1692,15.115,27.599,18.472906,,Industrials,68
CH Offshore R,ZBVR,0,,,,,,,
CH Offshore,C13,0.014,2.8126,17.522,26.229,12.096762,,Energy,51
Charisma Energy,5QT,0.002,,39.499,6.619,,,Utilities,52
Chasen,5NV,0.066,-11.0397,25.387,106.224,1.551992,,Industrials,56
Chemical Ind,C05,0.47,3.8547,35.694,67.096,5.816832,3.19,Basic Materials,62
China Aviation,G92,0.82,8.1003,705.351,15518.512,7.007472,4.54,Energy,64
China EnvRes,UIX,0.101,-15.5019,53.674,72.058,,,Consumer Cyclical,
China Everbright,U9E,0.225,8.2044,643.697,6851.918,3.851772,9.2,Utilities,80
China Fishery,B0Z,0.076,,279.941,,4.245235,,Consumer Defensive,45
China Intl,BEH,0.03,-40.949000000000005,2.343,89.710,,,Utilities,54
China Mining,BHD,0.029,-122.6512,11.832,0.000,,,Consumer Defensive,51
China Yuanbang,BCD,0.152,-36.869,10.549,170.817,,,Real Estate,69
ChinaKangdaFood,P74,0.022,-4.0218,11.284,1650.509,,,Consumer Defensive,56
ChinaKundaTech,GU5,0.017,-73.45,6.967,35.182,,,Industrials,54
ChinaSunsine,QES,0.565,10.4204,538.661,3515.528,7.147376,3.54,Basic Materials,67
Choo Chiang,42E,0.42,17.7256,87.216,89.622,7.394366,6.1899999999999995,Technology,75
Chuan Hup,C33,0.162,0.8678,148.029,6.259,45.042540,6.17,Real Estate,62
CityDev,C09,4.8,2.0892999999999997,4288.328,3271.197,22.535211,1.67,Real Estate,112
Civmec,P9D,0.85,14.166,429.639,1043.988,8.887432,6.04,Industrials,79
Clearbridge,1H3,0.003,-37.1863,6.506,9.903,,,Healthcare,45
CNMC Goldmine,5TP,0.43,22.0625,174.274,65.200,13.776157,1.8599999999999999,Basic Materials,66
Comba,STC,0.093,-18.7665,764.125,4528.263,,,Technology,
Combine Will,N0Z,1.17,6.1424,37.823,1471.284,5.045884,4.2700000000000005,Consumer Cyclical,70
ComfortDelGro,C52,1.42,8.1013,3076.804,4476.500,14.624099,5.47,Industrials,101
Coolan Group,BMT,0.075,,15.635,1.133,,,Energy,60
Cordlife,P8A,0.27,-14.7285,69.203,27.843,,,Healthcare,16
Cortina,C41,2.55,16.1512,422.225,832.670,7.285714,0.7799999999999999,Consumer Cyclical,65
COSCO SHP SG,F83,0.126,1.1131,282.145,172.916,52.500000,,Industrials,72
CosmoSteel,B9S,0.22,-6.3182,57.499,107.990,,,Industrials,74
Courage Inv,CIN,0.018,2.9439,34.004,9.183,8.758272,,Industrials,
Creative,C76,0.875,-19.731,61.597,68.370,,,Technology,54
CreditBureauAsia,TCU,1.32,22.1939,304.115,59.706,27.049180,3.0300000000000002,Financial Services,56
CSC,C06,0.012,-22.4912,41.919,313.405,,,Industrials,66
Darco Water Tech,BLR,0.075,3.5026,7.037,59.136,7.009346,,Industrials,69
Datapulse Tech,BKW,0.141,7.4176,33.394,6.024,10.522388,,Consumer Cyclical,75
DBS,D05,45.15,17.1263,128391.425,22565.000,11.522246,5.38,Financial Services,106
Debao Property,BTF,0.128,-38.019999999999996,9.600,133.733,,,Real Estate,40
Del Monte Pac,D03,0.068,-57.5739,132.189,2491.139,,,Consumer Defensive,102
Delfi,P34,0.73,12.7915,446.145,502.655,10.239901,5.88,Consumer Defensive,73
DFIRG USD,D01,2.64,-31.313999999999997,3573.638,8868.900,,3.9800000000000004,Consumer Defensive,
Digilife Tech,BAI,0.8,-7.294200000000001,11.874,246.123,,,Communication Services,73
Don Agro,GRQ,0.17,-41.6826,25.546,0.000,,,Consumer Defensive,62
Duty Free Intl,5SO,0.063,14.8899,75.487,155.100,4.631970,10.32,Consumer Cyclical,57
Econ Healthcare,EHG,0.35,15.4456,93.069,59.030,11.550393,3.17,Healthcare,52
EcoWise,5CT,0.024,-6.680899999999999,27.572,34.594,68.571429,,Industrials,78
Edition,5HG,0.004,,7.533,0.701,,,Consumer Defensive,62
Eindec,42Z,0.031,-2.1365,3.339,13.730,,,Industrials,58
Ellipsiz,BIX,0.225,-3.7207,37.398,59.178,,4.44,Technology,73
Emperador Inc.,EMI,0.31,6.540500000000001,5035.157,60014.883,34.332026,1.4200000000000002,Consumer Defensive,
