Trading Name,Sector,Ticker,fy_ended,ROA,ROE,operating_margin,cash_flow_margin,debt_ratio_lag1,debt_equity_ratio_lag1,current_ratio_lag1,interest_coverage_ratio_lag1,gross_margin_lag1,net_profit_margin_lag1,asset_turnover_lag1,log_assets_lag1
Katrina,Consumer Cyclical,1A0.SI,2024,0.06551136363636363,-0.5812956894378624,0.08560517468206402,0.33070822979096626,0.8744424518324366,-5.815443425076452,0.22599694552859326,0.3581981981981982,0.1317541937115401,-0.022726123240327068,1.3637513220214283,17.58813355551107
Katrina,Consumer Cyclical,1A0.SI,2023,-0.030992780613417942,0.20611620795107033,0.01675798701846076,0.3164629520357414,0.8862413528055342,-8.695324283559577,0.3216856832382505,2.1929945054945055,0.17088646870830618,0.05374042011852679,1.2386241352805534,17.76752321160858
Katrina,Consumer Cyclical,1A0.SI,2022,0.06656418139892391,-0.6530920060331825,0.09907226410996307,0.3307114710354029,0.9267299155714162,-5.998422535211268,0.40037296921423604,0.9367201426024956,0.0007806981672181122,-0.003977843042492286,0.9365131865262425,17.8663385262696
Wong Fong Ind,Industrials,1A1.SI,2024,0.04565922076611632,0.06391017266339466,0.07363065862426126,0.17508986778772923,0.16744475948377005,0.2481885370625317,3.0662907350337685,11.61456102783726,0.4415711023884656,0.047256214884938044,0.9527522487289792,18.22008115707305
Wong Fong Ind,Industrials,1A1.SI,2023,0.045023464998044584,0.06673429461633215,0.06957592549834526,0.1394340542343313,0.18601687134787165,0.32158795959143277,2.487538940809969,7.925187032418953,0.4455039243549051,0.029057490803330723,0.8133134592743808,18.343616097449388
Wong Fong Ind,Industrials,1A1.SI,2022,0.023632848363090417,0.04085672137882098,0.04220507576461839,0.018074609224558096,0.145360117357562,0.23067680465596546,2.909059770508649,12.201634877384196,0.45866740392590544,0.0510859214204528,0.7702299829642248,18.252593398386235
Audience,Industrials,1AZ.SI,2024,0.2431881152761855,0.27476480761537136,0.47678812215495703,0.39006041666225244,0.011062417586146426,0.012876983874606606,7.1227762635572995,511.2802632749266,0.5495139456740417,0.31701402376727356,0.7011728126698871,16.853582186265015
Audience,Industrials,1AZ.SI,2023,0.22228161470069763,0.258742426402969,0.3929148351781677,0.3081600626222279,0.005416401308985209,0.006537190599280358,5.773830366156952,1492.144585854371,0.6439853256638647,0.40234718342729137,0.7313311686631706,16.776967899800102
Audience,Industrials,1AZ.SI,2022,0.2942490358642161,0.35513654202613937,0.5060106662112097,0.5087068289038659,0.00960431554316089,0.011337175793882721,6.702772649057942,901.4406484225204,0.6596209621017793,0.4258805198392572,0.6655527507166761,16.512745282082303
MM2 Asia,Communication Services,1B0.SI,2024,-0.012442796171582856,-0.0778698126989815,0.10455542806530185,0.024568713891740646,0.5444776596069444,4.576193577673831,1.0837817399144876,-1.514009111617312,0.21154768686474978,-0.8973705513746889,0.3132891699523064,19.869581291703454
MM2 Asia,Communication Services,1B0.SI,2023,-0.28113647517981977,-2.3628791915842657,-0.09963871315923604,0.06656822474739904,0.4533925978420215,1.6465174662848348,0.7164344876879739,-1.4485995457986374,0.10488882502963469,-0.4188608307290731,0.145064301644538,20.171138937156467
MM2 Asia,Communication Services,1B0.SI,2022,-0.06076175389596404,-0.22065929075151072,-0.11456350204150054,0.31394805847911206,0.5469299293217679,2.68911921182266,0.6304570348860583,-4.147949808368772,0.07921042137445168,-1.2066595772962914,0.12059703789436899,20.25136120193365
HC Surgical,Healthcare,1B1.SI,2024,0.1381267059330556,0.26181075561606537,0.27761828814460393,0.3350345560871877,0.17579886767104885,0.4540647719762062,1.1117724288840263,25.269461077844312,0.8622424909576978,0.1530114797924202,0.6102101525765282,17.257945847642674
HC Surgical,Healthcare,1B1.SI,2023,0.09336915843009308,0.2411599471249174,0.22120878544844577,0.3783613775750904,0.20193798449612402,0.5683636363636364,1.1921266021449124,44.52247191011236,0.8630832168194293,0.33038164776552226,0.6237403100775194,17.2482066066858
HC Surgical,Healthcare,1B1.SI,2022,0.20607235142118863,0.58,0.4103878618404018,0.36533581896328515,0.22174140734819878,0.8187461835945451,1.8767908309455588,50.36538461538461,0.868225019265348,0.3424950766332734,0.6438080538022657,17.406804746227156
Ocean Sky Intl,Industrials,1B6.SI,2024,-0.0013110846245530394,-0.0021522733387140166,0.04359151910838527,0.017509150262142645,0.29149222812939113,0.4967659112230287,4.048787641767697,-1.8450363196125907,0.13299727347663434,-0.08531481833745483,0.4569251495704828,18.050066237029895
Ocean Sky Intl,Industrials,1B6.SI,2023,-0.03898248612942012,-0.06643460228114353,-0.04831653034049838,-0.028406569019085663,0.2994175585440296,0.5182715821529091,1.7059393298991767,-0.25793650793650796,0.1359839515916864,-0.023973954222573007,0.40528329046102174,18.13338526343096
Ocean Sky Intl,Industrials,1B6.SI,2022,-0.009716243052686294,-0.016818160845291377,-0.004275190739279137,-0.09477769008155748,0.3238401709290358,0.5641112926652142,2.684633142627723,2.6387434554973823,0.20795767195767195,0.02891005291005291,0.30778951756843026,18.156155145484366
Kimly,Consumer Cyclical,1D0.SI,2024,0.08269332560996315,0.18072880856497398,0.14411672615692905,0.27454756089924226,0.2826228918910823,0.5346040956018178,1.1700193811401456,13.562450066577895,0.283213106814677,0.11621401169978206,0.9401551687984903,19.62614243932972
Kimly,Consumer Cyclical,1D0.SI,2023,0.10925920378635832,0.20667263516959236,0.1622643793890114,0.2814575022622128,0.3601591015966142,0.7961993515012005,0.9786162474896203,11.94560878243513,0.28809622719891237,0.1070628296637587,0.8894126340775242,19.693963169594728
